Datetime,mnq,div_cl,rot_score_short,below_4h_open,target,hour,dow,ml_prob,result,sinal
2025-05-29 15:00:00,21349.0,-3.121371951331099,67.6,1,0,15,3,0.6110771,LOSS,SHORT
2025-05-30 16:00:00,21109.0,-5.52835591764957,67.6,1,0,16,4,0.57207966,LOSS,SHORT
2025-06-05 13:00:00,21723.5,-11.55230612630342,85.3,1,0,13,3,0.5310215,LOSS,SHORT
2025-06-05 16:00:00,21687.5,-5.756571659064285,70.6,1,1,16,3,0.5635539,WIN,SHORT
2025-06-06 10:00:00,21656.75,-6.037616178783971,61.8,1,0,10,4,0.5552334,LOSS,SHORT
2025-06-11 22:00:00,21836.25,-34.59433148375401,73.5,1,1,22,2,0.6810174,WIN,SHORT
2025-06-12 22:00:00,21880.75,-11.020681444521244,61.8,1,1,22,3,0.51305974,WIN,SHORT
2025-06-13 00:00:00,21567.5,-48.592831792240005,73.5,1,1,0,4,0.64711946,WIN,SHORT
2025-06-13 01:00:00,21612.75,-45.2137910214428,64.7,1,1,1,4,0.5048721,WIN,SHORT
2025-06-17 16:00:00,22036.5,-5.739044195223592,85.3,1,1,16,1,0.6106312,WIN,SHORT
2025-06-17 17:00:00,21962.25,-13.160347960917953,67.6,1,1,17,1,0.52718073,WIN,SHORT
2025-06-18 11:00:00,22007.5,-6.370769448730634,67.6,1,0,11,2,0.50092876,LOSS,SHORT
2025-06-18 16:00:00,22028.0,-0.05449119904864119,85.3,1,1,16,2,0.6220087,WIN,SHORT
2025-06-18 18:00:00,21917.5,-12.506528160033248,73.5,1,0,18,2,0.52555937,LOSS,SHORT
2025-07-01 15:00:00,22659.25,-23.562963888533957,61.8,1,0,15,1,0.52516115,LOSS,SHORT
2025-07-02 07:00:00,22723.5,-10.94085421287511,67.6,1,1,7,2,0.54716593,WIN,SHORT
2025-07-07 14:00:00,22895.0,-18.118266315060268,67.6,1,0,14,0,0.63378906,LOSS,SHORT
2025-07-29 13:00:00,23582.25,-0.29877398179299064,61.8,1,1,13,1,0.5748116,WIN,SHORT
2025-08-18 09:00:00,23759.0,-14.766356299746803,64.7,1,0,9,0,0.5348564,LOSS,SHORT
2025-08-21 09:00:00,23304.5,-17.987640312293138,64.7,1,1,9,3,0.58967274,WIN,SHORT
2025-08-21 16:00:00,23161.25,-21.236291417668,64.7,1,0,16,3,0.61689144,LOSS,SHORT
2025-09-10 16:00:00,23924.0,-12.366442606436067,64.7,1,1,16,2,0.5710896,WIN,SHORT
2025-09-24 15:00:00,24679.75,-43.166908384596624,64.7,1,0,15,2,0.60614944,LOSS,SHORT
2025-09-25 10:00:00,24688.75,-26.612171698624707,64.7,1,1,10,3,0.59197503,WIN,SHORT
2025-09-26 15:00:00,24580.75,-23.04255421216687,64.7,1,0,15,4,0.5195718,LOSS,SHORT
2025-10-01 06:00:00,24653.0,-6.933539813141344,67.6,1,0,6,2,0.5651927,LOSS,SHORT
2025-10-01 07:00:00,24672.0,-7.8292759554468105,64.7,1,0,7,2,0.5228799,LOSS,SHORT
2025-10-07 15:00:00,25029.5,-10.041626827395483,67.6,1,0,15,1,0.62960184,LOSS,SHORT
2025-10-10 19:00:00,24402.75,-0.1296942990984178,67.6,1,0,19,4,0.76084495,LOSS,SHORT
2025-10-13 09:00:00,24846.25,-2.742125538607276,64.7,1,0,9,0,0.5446863,LOSS,SHORT
2025-10-13 14:00:00,24758.25,-4.845278472372492,67.6,1,0,14,0,0.5678707,LOSS,SHORT
2025-10-22 11:00:00,25224.0,-15.873093690485497,67.6,1,1,11,2,0.5332238,WIN,SHORT
2025-10-22 14:00:00,25173.5,-20.660895626803388,73.5,1,1,14,2,0.5158954,WIN,SHORT
2025-10-23 09:00:00,25059.0,-32.6960165809334,64.7,1,0,9,3,0.54435974,LOSS,SHORT
2025-10-30 14:00:00,26017.0,-10.856992928836547,73.5,1,1,14,3,0.67636746,WIN,SHORT
2025-10-31 12:00:00,26211.75,-5.8117187862225705,61.8,1,1,12,4,0.55172306,WIN,SHORT
2025-11-03 15:00:00,26088.5,-4.442622059720037,76.5,1,0,15,0,0.53075975,LOSS,SHORT
2025-11-05 10:00:00,25413.5,-20.05444062388188,64.7,1,0,10,2,0.61224407,LOSS,SHORT
2025-11-06 15:00:00,25303.0,-3.9325756297790875,76.5,1,0,15,3,0.6008298,LOSS,SHORT
2025-11-11 09:00:00,25603.25,-4.8940704695759365,67.6,1,0,9,1,0.5256582,LOSS,SHORT
2025-11-13 13:00:00,25498.25,-7.296099314222069,82.4,1,1,13,3,0.601249,WIN,SHORT
2025-11-17 10:00:00,25198.5,-6.345052762587791,67.6,1,0,10,0,0.5124227,LOSS,SHORT
2025-11-21 05:00:00,24141.0,-2.4862014626617253,76.5,1,1,5,4,0.54342395,WIN,SHORT
2025-12-01 19:00:00,25374.25,-0.49394962024935296,82.4,1,0,19,0,0.5008922,LOSS,SHORT
2025-12-04 13:00:00,25632.0,-1.8203183265621945,76.5,1,0,13,3,0.50068146,LOSS,SHORT
2025-12-12 15:00:00,25240.5,-2.9614679512787347,76.5,1,0,15,4,0.55866015,LOSS,SHORT
2025-12-12 16:00:00,25174.25,-14.715010432180812,73.5,1,0,16,4,0.58733726,LOSS,SHORT
2025-12-17 09:00:00,25221.0,-7.80873984565001,73.5,1,0,9,2,0.61010456,LOSS,SHORT
2026-01-02 16:00:00,25341.5,-0.33142876039227076,76.5,1,0,16,4,0.53262806,LOSS,SHORT
2026-01-09 14:00:00,25734.0,-19.512618510895592,67.6,1,0,14,4,0.53494674,LOSS,SHORT
2026-01-23 16:00:00,25788.25,-4.551334977967862,76.5,1,1,16,4,0.636957,WIN,SHORT
2026-01-23 17:00:00,25694.0,-10.48174513295713,67.6,1,0,17,4,0.6047718,LOSS,SHORT
2026-01-27 13:00:00,25990.25,-1.8313102195815816,64.7,1,0,13,1,0.5265415,LOSS,SHORT
2026-01-29 14:00:00,25864.0,-45.136450129385466,73.5,1,1,14,3,0.5780002,WIN,SHORT
2026-02-03 14:00:00,25631.25,-12.830679999734514,76.5,1,1,14,1,0.60733277,WIN,SHORT
2026-02-03 17:00:00,25387.25,-24.112276253755333,64.7,1,0,17,1,0.5713558,LOSS,SHORT
2026-02-03 18:00:00,25246.25,-26.8279804746227,64.7,1,0,18,1,0.5477323,LOSS,SHORT
2026-02-04 09:00:00,25402.5,-16.105607638249765,73.5,1,1,9,2,0.59889257,WIN,SHORT
2026-02-04 16:00:00,25035.75,-24.292962806045495,64.7,1,1,16,2,0.6173622,WIN,SHORT
2026-02-10 20:00:00,25219.75,-5.595598815340132,85.3,1,0,20,1,0.5171953,LOSS,SHORT
2026-02-13 21:00:00,24772.75,-1.3901040456218894,67.6,1,0,21,4,0.5593044,LOSS,SHORT
2026-02-18 12:00:00,24889.75,-10.78384631173764,73.5,1,0,12,2,0.63255036,LOSS,SHORT
2026-02-18 18:00:00,25027.25,-13.421396139966717,73.5,1,1,18,2,0.5508178,WIN,SHORT
2026-02-20 13:00:00,24769.5,-16.34635298994916,73.5,1,0,13,4,0.5653135,LOSS,SHORT
2026-02-20 17:00:00,25034.75,-2.736629354560222,82.4,1,0,17,4,0.60557646,LOSS,SHORT
2026-02-26 15:00:00,24999.75,-23.464356965818972,91.2,1,0,15,3,0.53251857,LOSS,SHORT
2026-02-26 16:00:00,24963.5,-24.22584845162674,73.5,1,0,16,3,0.586471,LOSS,SHORT
