Datetime,mnq,div_cl,rot_score,above_4h_open,target,hour,dow,ml_prob,result
2025-05-02 14:00:00,20165.75,19.229942467129398,73.5,1,1,14,4,0.5752277,WIN
2025-05-02 16:00:00,20241.25,24.874886252328913,82.4,1,0,16,4,0.5480167,LOSS
2025-05-05 14:00:00,20104.25,14.413066544749583,73.5,1,1,14,0,0.54945153,WIN
2025-05-05 15:00:00,20102.25,12.721825184595772,61.8,1,0,15,0,0.52935857,LOSS
2025-05-07 16:00:00,19898.75,1.5800612345157887,85.3,1,1,16,2,0.609482,WIN
2025-05-12 00:00:00,20493.0,3.353221982370954,82.4,1,1,0,0,0.5760207,WIN
2025-05-12 01:00:00,20516.75,4.7936768125548355,64.7,1,1,1,0,0.61247563,WIN
2025-05-12 16:00:00,20877.75,8.086393963208131,64.7,1,1,16,0,0.55614823,WIN
2025-05-12 17:00:00,20913.75,11.540969712974068,64.7,1,0,17,0,0.5499401,LOSS
2025-05-20 10:00:00,21462.0,4.103757786623888,67.6,1,0,10,1,0.5487411,LOSS
2025-05-21 14:00:00,21456.25,11.982494271477712,64.7,1,0,14,2,0.5197269,LOSS
2025-05-21 15:00:00,21515.25,17.36183936669199,64.7,1,0,15,2,0.54700214,LOSS
2025-05-22 06:00:00,21192.5,8.804029150142902,82.4,1,0,6,3,0.5333953,LOSS
2025-05-27 14:00:00,21356.0,21.05754563135814,73.5,1,1,14,1,0.54830253,WIN
2025-05-27 15:00:00,21399.5,24.420437655427797,73.5,1,1,15,1,0.5748514,WIN
2025-05-28 17:00:00,21469.75,0.9051290485711476,79.4,1,1,17,2,0.5515567,WIN
2025-05-29 17:00:00,21372.25,2.155122660258101,64.7,1,0,17,3,0.5871578,LOSS
2025-06-05 15:00:00,21920.0,9.62802092259389,64.7,1,0,15,3,0.5570497,LOSS
2025-06-06 05:00:00,21657.5,0.2511365469818827,76.5,1,1,5,4,0.5201201,WIN
2025-06-10 16:00:00,21909.75,4.843629784889188,82.4,1,1,16,1,0.5035339,WIN
2025-06-16 07:00:00,21783.75,0.6313491001256679,76.5,1,1,7,0,0.5303549,WIN
2025-06-16 11:00:00,22033.25,11.76955466415567,64.7,1,1,11,0,0.5607795,WIN
2025-06-17 11:00:00,22072.25,0.270776510863044,70.6,1,1,11,1,0.5307713,WIN
2025-06-18 14:00:00,22079.0,7.4098239200487725,82.4,1,0,14,2,0.5215631,LOSS
2025-06-19 22:00:00,21894.25,1.0760440442607901,67.6,1,0,22,3,0.55517125,LOSS
2025-06-20 05:00:00,21922.75,5.322203307792485,76.5,1,1,5,4,0.5270163,WIN
2025-06-20 11:00:00,21967.0,7.7039666001631275,91.2,1,0,11,4,0.52945125,LOSS
2025-06-23 13:00:00,21925.25,13.100184082971559,67.6,1,1,13,0,0.57490605,WIN
2025-06-23 14:00:00,21952.75,18.031892817040394,61.8,1,1,14,0,0.5777563,WIN
2025-06-23 17:00:00,22051.25,31.952094511621397,82.4,1,1,17,0,0.57553077,WIN
2025-06-23 18:00:00,22036.25,32.85787856379363,82.4,1,1,18,0,0.5392759,WIN
2025-06-23 22:00:00,22204.5,45.36321241625714,82.4,1,1,22,0,0.51445645,WIN
2025-06-23 23:00:00,22236.25,45.003914298608436,67.6,1,0,23,0,0.5140606,LOSS
2025-06-24 15:00:00,22362.25,39.85341284700999,82.4,1,1,15,1,0.5008752,WIN
2025-07-14 14:00:00,22992.0,7.466145423364644,82.4,1,1,14,0,0.5422352,WIN
2025-07-14 15:00:00,23008.75,14.783266235917807,64.7,1,1,15,0,0.56924355,WIN
2025-07-14 16:00:00,23033.5,16.443383389066874,64.7,1,0,16,0,0.56641954,LOSS
2025-07-14 17:00:00,23044.75,20.386318516631206,64.7,1,0,17,0,0.55752337,LOSS
2025-07-17 13:00:00,23149.75,10.23278435832286,73.5,1,1,13,3,0.5472248,WIN
2025-07-25 13:00:00,23389.75,6.451446740548363,73.5,1,1,13,4,0.51928705,WIN
2025-07-25 14:00:00,23405.25,12.263855725138903,73.5,1,1,14,4,0.5180788,WIN
2025-07-25 15:00:00,23420.75,17.292848177981227,73.5,1,0,15,4,0.5384975,LOSS
2025-07-25 16:00:00,23450.25,20.13064790454584,73.5,1,0,16,4,0.5254163,LOSS
2025-07-29 10:00:00,23599.0,13.368876427793495,64.7,1,0,10,1,0.5115961,LOSS
2025-08-03 22:00:00,22909.0,1.21463201112158,82.4,1,1,22,6,0.54915917,WIN
2025-08-04 08:00:00,23060.75,12.449666340051571,76.5,1,0,8,0,0.5666957,LOSS
2025-08-04 16:00:00,23270.25,19.332903865268143,73.5,1,1,16,0,0.5764188,WIN
2025-08-06 14:00:00,23282.25,7.081402208509168,82.4,1,1,14,2,0.5687621,WIN
2025-08-06 15:00:00,23368.0,26.051414463360246,64.7,1,1,15,2,0.5791646,WIN
2025-08-06 18:00:00,23415.5,32.183347958144296,73.5,1,1,18,2,0.51950437,WIN
