feature,tipo,condicao,n,wr_1h,wr_4h,edge_1h,edge_4h
di_spread_cl,continua,Q3[-0.895-8.941],2959,0.24636701588374452,0.6708347414667117,0.00021057053824696803,-0.002589823493585608
di_spread_btc,continua,Q3[-0.880-10.037],2959,0.24636701588374452,0.6765799256505576,0.00021057053824696803,0.003155360690260234
adx_mnq,continua,Q1[5.906-17.690],2960,0.2462837837837838,0.6652027027027027,0.00012733843828624525,-0.008221862257594692
open_w_dist_btc,continua,Q2[-2.002-0.000],2727,0.24605793912724605,0.6765676567656765,-9.850621825149841e-05,0.0031430918053791945
dist_sma50_cl,continua,Q3[0.092-1.206],2959,0.24602906387293005,0.6711726934775262,-0.00012738147256749488,-0.0022518714827711728
adx_btc,continua,Q3[23.535-31.993],2959,0.24602906387293005,0.6711726934775262,-0.00012738147256749488,-0.0022518714827711728
adx_btc,continua,Q4[31.993-66.203],2960,0.24594594594594596,0.6756756756756757,-0.00021049939955158914,0.0022511107153783128
di_spread_cl,continua,Q2[-10.025--0.895],2959,0.2456911118621156,0.6748901655964853,-0.0004653334833819578,0.001465600636187947
rsi_cl,continua,Q3[50.354-57.869],2959,0.2456911118621156,0.6691449814126395,-0.0004653334833819578,-0.004279583547657895
rsi_cl,continua,Q2[43.119-50.354],2959,0.2456911118621156,0.6711726934775262,-0.0004653334833819578,-0.0022518714827711728
open_4h_dist_cl,continua,Q3[0.000-0.128],4998,0.2454981992797119,0.6716686674669868,-0.0006582460657856559,-0.0017558974933105098
r_cl_1h,continua,Q2[-0.199-0.013],2959,0.24535315985130113,0.6661034133153092,-0.0008032854941964207,-0.007321151644988144
r_mnq_8h,continua,Q2[-0.298-0.063],2959,0.24535315985130113,0.6853666779317337,-0.0008032854941964207,0.011942112971436325
adx_mnq_muito_alto,binaria,adx_mnq_muito_alto=1,5145,0.24528668610301263,0.6771622934888241,-0.0008697592424849188,0.003737728528526718
open_4h_dist_es,continua,Q1[-3.187--0.033],2960,0.24527027027027026,0.6449324324324325,-0.0008861750752272857,-0.028492132527864866
adx_es,continua,Q4[30.801-63.698],2960,0.24527027027027026,0.6675675675675675,-0.0008861750752272857,-0.0058569973927298236
vol_cl,continua,Q3[0.391-0.578],2959,0.24501520784048664,0.6745522135856709,-0.0011412375050109114,0.0011276486253735118
r_btc_4h,continua,Q3[0.014-0.606],2959,0.24501520784048664,0.6796214937478878,-0.0011412375050109114,0.006196928787590483
open_d_dist_mnq,continua,Q3[0.000-0.288],4217,0.2449608726582879,0.669670381788001,-0.0011955726872096561,-0.003754183172296366
dist_open_d_mnq,continua,Q3[0.000-0.288],4217,0.2449608726582879,0.669670381788001,-0.0011955726872096561,-0.003754183172296366
open_4h_dist_es,continua,Q4[0.052-7.876],2960,0.24493243243243243,0.6878378378378378,-0.00122401291306512,0.014413272877540462
r_mnq_1h,continua,Q1[-5.528--0.092],2960,0.24493243243243243,0.6581081081081082,-0.00122401291306512,-0.015316456852189186
open_w_dist_cl,continua,Q3[0.000-1.564],3027,0.244796828543112,0.6534522629666336,-0.0013596168023855548,-0.019972301993663732
r_cl_4h,continua,Q2[-0.430-0.026],2959,0.24467725582967217,0.6593443730990199,-0.0014791895158253743,-0.014080191861277402
open_4h_dist_btc,continua,Q4[0.182-6.445],2960,0.2445945945945946,0.6695945945945946,-0.0015618507509029544,-0.0038299703657027617
r_mnq_8h,continua,Q4[0.424-13.640],2960,0.2445945945945946,0.6858108108108109,-0.0015618507509029544,0.012386245850513511
open_d_dist_mnq,continua,Q1[-5.996--0.170],2960,0.2445945945945946,0.6641891891891892,-0.0015618507509029544,-0.009235375771108112
adx_mnq,continua,Q4[31.525-75.295],2960,0.2445945945945946,0.6790540540540541,-0.0015618507509029544,0.005629489093756712
bb_w_cl,continua,Q1[0.225-0.855],2960,0.2445945945945946,0.6760135135135135,-0.0015618507509029544,0.0025889485532161194
dist_open_d_mnq,continua,Q1[-5.996--0.170],2960,0.2445945945945946,0.6641891891891892,-0.0015618507509029544,-0.009235375771108112
dist_sma50_cl,continua,Q1[-16.855--1.095],2960,0.2445945945945946,0.6652027027027027,-0.0015618507509029544,-0.008221862257594692
open_4h_dist_es,continua,Q3[0.000-0.052],5149,0.24451349776655662,0.6787725771994562,-0.0016429475789409287,0.005348012239158817
r_es_4h,continua,Q2[-0.147-0.023],2959,0.2443393038188577,0.6671172693477526,-0.0018171415266398372,-0.006307295612544728
di_spread_es,continua,Q3[-0.817-8.558],2959,0.2443393038188577,0.6667793173369382,-0.0018171415266398372,-0.006645247623359163
div_es,continua,Q1[-20.310--2.277],2960,0.24425675675675676,0.6635135135135135,-0.0018996885887407888,-0.009911051446783836
div_btc,continua,Q4[9.505-47.337],2960,0.24425675675675676,0.6847972972972973,-0.0018996885887407888,0.01137273233699998
dist_open_d_es,continua,Q3[0.000-0.200],4206,0.24393723252496433,0.6709462672372801,-0.002219212820533223,-0.00247829772301722
open_d_dist_es,continua,Q3[0.000-0.200],4206,0.24393723252496433,0.6709462672372801,-0.002219212820533223,-0.00247829772301722
