combo,n,wr_1h,edge_1h,wr_4h,edge_4h
es_mnq_oposto + open_d_acima_d_ant_mnq + above_ema20_cl,284,0.31690140845070425,0.0707449631052067,0.7112676056338029,0.037843040673505524
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + open_d_acima_d_ant_es,243,0.3168724279835391,0.07071598263804155,0.7160493827160493,0.042624817755752
rsi_mnq_acima_60 + rsi_cl_acima_60 + is_evening,101,0.31683168316831684,0.07067523782281929,0.7524752475247525,0.07905068256445513
es_mnq_oposto + open_d_acima_d_ant_cl + adx_es_alto,480,0.31666666666666665,0.0705102213211691,0.7458333333333333,0.072408768373036
es_mnq_oposto + open_4h_acima_4h_ant_btc + open_d_acima_d_ant_es,291,0.3161512027491409,0.06999475740364333,0.738831615120275,0.06540705015997761
es_mnq_oposto + open_4h_acima_4h_ant_es + above_ema20_mnq,446,0.31614349775784756,0.06998705241235001,0.7376681614349776,0.06424359647468025
es_btc_discordam_mnq + above_sma50_mnq + above_ema20_btc,212,0.3160377358490566,0.06988129050355904,0.7688679245283019,0.09544335956800454
es_mnq_oposto + open_1h_acima_close_ant_btc + is_us,250,0.316,0.06984355465450245,0.688,0.0145754350397026
rsi_mnq_abaixo_40 + rsi_cl_acima_60 + open_4h_acima_4h_ant_mnq,114,0.3157894736842105,0.06963302833871296,0.7368421052631579,0.06341754030286051
es_btc_discordam_mnq + open_4h_acima_4h_ant_es + open_w_acima_w_ant_es,114,0.3157894736842105,0.06963302833871296,0.6929824561403509,0.019557891180053577
es_mnq_oposto + open_4h_acima_4h_ant_es + open_d_acima_d_ant_mnq,358,0.31564245810055863,0.06948601275506108,0.723463687150838,0.05003912219054063
es_mnq_oposto + open_4h_acima_4h_ant_btc + open_d_acima_d_ant_cl,263,0.3155893536121673,0.06943290826666973,0.7186311787072244,0.04520661374692703
es_mnq_oposto + open_1h_acima_close_ant_es + open_4h_acima_4h_ant_es,178,0.3146067415730337,0.06845029622753615,0.7584269662921348,0.08500240133183745
rsi_mnq_abaixo_40 + rsi_cl_acima_60 + open_1h_acima_close_ant_btc,159,0.31446540880503143,0.06830896345953388,0.7358490566037735,0.06242449164347619
es_mnq_oposto + open_4h_acima_4h_ant_btc + open_d_acima_d_ant_mnq,299,0.31438127090301005,0.0682248255575125,0.7491638795986622,0.07573931463836481
es_btc_discordam_mnq + above_ema20_mnq + above_ema20_btc,210,0.3142857142857143,0.06812926894021673,0.7523809523809524,0.07895638742065503
es_btc_discordam_mnq + open_d_acima_d_ant_es + open_w_acima_w_ant_btc,121,0.3140495867768595,0.06789314143136196,0.7024793388429752,0.029054773882677853
es_btc_discordam_mnq + above_sma50_es + is_us,153,0.3137254901960784,0.06756904485058088,0.7254901960784313,0.052065631118134004
es_btc_discordam_mnq + rsi_mnq_acima_60 + open_w_acima_w_ant_es,51,0.3137254901960784,0.06756904485058088,0.7254901960784313,0.052065631118134004
es_mnq_oposto + btc_mnq_mesmo_sentido + is_us,271,0.31365313653136534,0.06749669118586779,0.7269372693726938,0.05351270441239642
btc_mnq_oposto + es_btc_discordam_mnq + open_d_acima_d_ant_mnq,271,0.31365313653136534,0.06749669118586779,0.7232472324723247,0.04982266751202735
es_mnq_oposto + es_btc_discordam_mnq + open_d_acima_d_ant_mnq,271,0.31365313653136534,0.06749669118586779,0.7232472324723247,0.04982266751202735
es_btc_discordam_mnq + open_d_acima_d_ant_mnq,271,0.31365313653136534,0.06749669118586779,0.7232472324723247,0.04982266751202735
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + open_mnq_acima_es,271,0.31365313653136534,0.06749669118586779,0.7232472324723247,0.04982266751202735
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + open_mnq_acima_cl,271,0.31365313653136534,0.06749669118586779,0.7232472324723247,0.04982266751202735
es_btc_discordam_mnq + open_d_acima_d_ant_mnq + open_mnq_abaixo_btc,271,0.31365313653136534,0.06749669118586779,0.7232472324723247,0.04982266751202735
es_mnq_oposto + btc_mnq_oposto + open_d_acima_d_ant_mnq,271,0.31365313653136534,0.06749669118586779,0.7232472324723247,0.04982266751202735
rsi_mnq_abaixo_40 + open_1h_acima_close_ant_cl + above_sma50_cl,268,0.31343283582089554,0.06727639047539799,0.7425373134328358,0.06911274847253845
es_mnq_oposto + open_1h_acima_close_ant_es + open_d_acima_d_ant_es,150,0.31333333333333335,0.0671768879878358,0.7133333333333334,0.03990876837303603
es_mnq_oposto + open_4h_acima_4h_ant_es + open_d_acima_d_ant_btc,316,0.31329113924050633,0.06713469389500878,0.7120253164556962,0.03860075149539888
es_btc_discordam_mnq + open_d_acima_d_ant_btc + above_sma50_es,182,0.3131868131868132,0.06703036784131564,0.7307692307692307,0.05734466580893338
es_mnq_oposto + btc_mnq_mesmo_sentido + open_d_acima_d_ant_cl,281,0.31316725978647686,0.06701081444097931,0.7330960854092526,0.059671520448955295
es_mnq_oposto + rsi_cl_abaixo_40 + above_ema20_es,99,0.31313131313131315,0.0669748677858156,0.7474747474747475,0.07405018251445017
es_mnq_oposto + open_4h_acima_4h_ant_btc + open_w_acima_w_ant_es,214,0.3130841121495327,0.06692766680403514,0.7242990654205608,0.05087450046026343
es_mnq_oposto + open_d_acima_d_ant_btc + above_sma50_mnq,393,0.31297709923664124,0.0668206538911437,0.7557251908396947,0.08230062587939735
es_btc_discordam_mnq + open_d_acima_d_ant_btc + above_sma50_mnq,195,0.3128205128205128,0.06666406747501527,0.7487179487179487,0.07529338375765138
es_mnq_oposto + open_d_acima_d_ant_mnq + above_ema20_mnq,406,0.312807881773399,0.06665143642790147,0.7463054187192119,0.07288085375891451
es_btc_discordam_mnq + open_d_acima_d_ant_es + adx_cl_alto,240,0.3125,0.06634355465450245,0.7166666666666667,0.04324210170636933
es_btc_discordam_mnq + open_d_acima_d_ant_btc + open_d_acima_d_ant_cl,128,0.3125,0.06634355465450245,0.7109375,0.037512935039702655
