entry_time,exit_time,direction,result,bars_held,entry_mnq,exit_mnq,entry_cl,exit_cl,pnl_mnq_pct,pnl_cl_pct,pnl_total_pct,mnq_adx,cl_adx,mnq_rsi,cl_rsi,rsi_div,price_div,hour
2024-02-27 00:00:00,2024-02-27 12:00:00,SHORT_MNQ,LOSS,12,17958.5,18026.35,77.66,77.42,-0.38,0.31,-0.07,20.2,39.7,47.7,57.7,-10.1,-0.0,0.0
2024-02-29 12:00:00,2024-02-29 13:00:00,SHORT_MNQ,LOSS,1,17873.25,17911.79,78.57,78.85,-0.22,-0.36,-0.57,35.0,11.5,43.2,53.5,-10.4,-4e-06,12.0
2024-03-12 20:00:00,2024-03-14 23:00:00,LONG_MNQ,EXPIRED,48,18224.0,18238.5,78.03,81.09,0.08,-3.92,-3.84,35.8,13.8,51.8,49.4,2.5,-0.0,20.0
2024-03-13 00:00:00,2024-03-14 14:00:00,LONG_MNQ,LOSS,37,18462.25,17982.89,77.93,81.26,-2.6,-4.27,-6.87,37.6,13.3,58.2,48.2,10.0,-1e-05,0.0
2024-03-13 08:00:00,2024-03-15 10:00:00,SHORT_MNQ,EXPIRED,48,18212.25,18060.5,78.17,80.88,0.83,-3.47,-2.63,38.2,12.0,49.0,51.5,-2.6,-6.5e-05,8.0
2024-03-14 16:00:00,2024-03-18 18:00:00,SHORT_MNQ,EXPIRED,48,18252.25,18277.25,81.51,82.83,-0.14,-1.62,-1.76,27.0,49.5,48.7,74.2,-25.5,-1.2e-05,16.0
2024-03-15 16:00:00,2024-03-19 18:00:00,SHORT_MNQ,EXPIRED,48,18010.75,18266.0,81.24,83.52,-1.42,-2.81,-4.22,37.4,31.5,44.1,60.2,-16.1,-5e-06,16.0
2024-03-18 12:00:00,2024-03-18 14:00:00,LONG_MNQ,WIN,2,18276.75,18364.12,81.32,81.75,0.48,-0.53,-0.05,25.2,40.9,55.5,54.5,1.0,-2e-06,12.0
2024-03-19 12:00:00,2024-03-19 16:00:00,SHORT_MNQ,LOSS,4,18131.0,18195.58,82.63,83.74,-0.36,-1.34,-1.7,19.0,43.9,45.2,59.9,-14.6,-0.0,12.0
2024-03-20 16:00:00,2024-03-20 18:00:00,LONG_MNQ,WIN,2,18290.0,18402.77,81.55,81.84,0.62,-0.36,0.26,13.3,41.0,55.7,35.8,19.9,-1e-06,16.0
2024-03-21 00:00:00,2024-03-25 08:00:00,LONG_MNQ,EXPIRED,48,18561.0,18551.25,81.07,81.07,-0.05,0.0,-0.05,18.6,44.9,72.4,33.6,38.8,-7.3e-05,0.0
2024-03-21 20:00:00,2024-03-22 12:00:00,LONG_MNQ,LOSS,15,18579.75,18495.64,80.82,81.25,-0.45,-0.53,-0.98,37.4,56.4,61.1,40.3,20.7,-3e-06,20.0
2024-03-22 16:00:00,2024-03-25 09:00:00,LONG_MNQ,LOSS,16,18580.0,18520.59,80.58,81.15,-0.32,-0.71,-1.03,16.8,34.2,57.0,41.8,15.2,-3e-06,16.0
2024-03-27 12:00:00,2024-03-27 13:00:00,LONG_MNQ,LOSS,1,18548.25,18515.65,81.04,81.21,-0.18,-0.21,-0.39,20.4,33.6,53.2,44.8,8.4,-5e-06,12.0
2024-04-01 12:00:00,2024-04-01 13:00:00,SHORT_MNQ,LOSS,1,18515.25,18554.97,83.38,83.22,-0.21,0.19,-0.02,19.7,31.2,47.5,61.6,-14.1,-9e-06,12.0
2024-04-05 00:00:00,2024-04-05 13:00:00,SHORT_MNQ,LOSS,13,18096.5,18206.88,86.97,86.58,-0.61,0.45,-0.16,32.6,27.0,31.5,69.4,-37.9,-0.0,0.0
2024-04-05 04:00:00,2024-04-05 13:00:00,SHORT_MNQ,LOSS,9,18111.75,18212.22,86.67,86.58,-0.55,0.1,-0.45,36.2,27.5,34.5,62.5,-28.1,-0.0,4.0
2024-04-15 08:00:00,2024-04-15 14:00:00,LONG_MNQ,LOSS,6,18276.0,18214.77,84.69,84.73,-0.34,-0.05,-0.38,30.8,17.4,49.1,39.3,9.8,-1e-06,8.0
2024-04-15 20:00:00,2024-04-17 16:00:00,SHORT_MNQ,WIN,42,17875.0,17634.57,85.65,82.99,1.35,3.11,4.45,34.8,18.2,27.6,53.5,-25.9,-0.0,20.0
2024-04-16 04:00:00,2024-04-16 18:00:00,SHORT_MNQ,LOSS,14,17843.5,17954.23,85.92,85.45,-0.62,0.55,-0.07,46.6,19.0,27.9,55.5,-27.6,-0.0,4.0
