asset,entry_time,exit_time,direction,result,ret_r,pnl_pct,entry_price,stop_price,target_price,atr,conf
mnq,2025-04-07 08:00:00,2025-04-07 14:00:00,LONG,WIN,3.0,3.0,16844.25,16390.93,17750.89,302.21,0.709
mnq,2025-04-07 14:00:00,2025-04-08 15:00:00,LONG,EXPIRED,1.16,1.157,17658.5,17145.58,18684.34,341.95,0.663
mnq,2025-04-08 15:00:00,2025-04-08 17:00:00,SHORT,WIN,3.0,3.0,18054.0,18290.46,17581.07,157.64,0.547
mnq,2025-04-09 08:00:00,2025-04-09 11:00:00,LONG,LOSS,-1.5,-1.5,17350.25,16970.75,18109.25,253.0,0.622
mnq,2025-04-09 11:00:00,2025-04-09 17:00:00,LONG,WIN,3.0,3.0,16958.0,16593.47,17687.05,243.02,0.53
mnq,2025-04-09 17:00:00,2025-04-10 18:00:00,SHORT,EXPIRED,0.91,0.914,18882.25,19446.09,17754.57,375.89,0.577
mnq,2025-04-10 18:00:00,2025-04-11 19:00:00,SHORT,EXPIRED,-1.05,-1.048,18538.5,18927.56,17760.38,259.38,0.565
mnq,2025-04-14 08:00:00,2025-04-14 16:00:00,SHORT,WIN,3.0,3.0,19120.0,19302.3,18755.39,121.54,0.544
mnq,2025-04-16 08:00:00,2025-04-16 17:00:00,SHORT,WIN,3.0,3.0,18711.25,18876.33,18381.09,110.05,0.52
mnq,2025-04-17 08:00:00,2025-04-17 14:00:00,SHORT,WIN,3.0,3.0,18537.75,18657.64,18297.96,79.93,0.52
mnq,2025-04-17 15:00:00,2025-04-17 17:00:00,SHORT,LOSS,-1.5,-1.5,18339.5,18481.71,18055.09,94.8,0.51
mnq,2025-04-17 17:00:00,2025-04-21 11:00:00,SHORT,WIN,3.0,3.0,18453.75,18615.59,18130.07,107.89,0.555
mnq,2025-04-21 14:00:00,2025-04-21 15:00:00,LONG,LOSS,-1.5,-1.5,17931.75,17822.22,18150.8,73.02,0.514
mnq,2025-04-21 16:00:00,2025-04-22 01:00:00,LONG,WIN,3.0,3.0,17795.0,17677.44,18030.12,78.38,0.5
mnq,2025-04-22 11:00:00,2025-04-22 14:00:00,LONG,WIN,3.0,3.0,18055.0,17950.75,18263.5,69.5,0.518
mnq,2025-04-23 08:00:00,2025-04-23 13:00:00,SHORT,LOSS,-1.5,-1.5,18830.0,18996.77,18496.46,111.18,0.5
mnq,2025-04-23 13:00:00,2025-04-23 15:00:00,SHORT,WIN,3.0,3.0,19065.0,19192.31,18810.38,84.88,0.609
mnq,2025-04-23 15:00:00,2025-04-24 13:00:00,SHORT,LOSS,-1.5,-1.5,18876.75,19036.15,18557.95,106.27,0.606
mnq,2025-05-01 09:00:00,2025-05-01 20:00:00,SHORT,WIN,3.0,3.0,20016.75,20146.93,19756.39,86.79,0.516
mnq,2025-05-02 12:00:00,2025-05-02 16:00:00,SHORT,LOSS,-1.5,-1.5,20095.0,20211.62,19861.75,77.75,0.502
mnq,2025-05-15 16:00:00,2025-05-16 17:00:00,SHORT,EXPIRED,0.67,0.674,21492.0,21597.11,21281.79,70.07,0.545
mnq,2025-05-19 16:00:00,2025-05-20 17:00:00,SHORT,EXPIRED,0.83,0.831,21499.0,21621.33,21254.34,81.55,0.59
mnq,2025-05-21 15:00:00,2025-05-21 17:00:00,SHORT,WIN,3.0,3.0,21515.25,21612.94,21319.88,65.12,0.517
mnq,2025-05-28 10:00:00,2025-05-28 13:00:00,SHORT,LOSS,-1.5,-1.5,21517.0,21562.16,21426.68,30.11,0.572
mnq,2025-05-29 08:00:00,2025-05-29 14:00:00,SHORT,WIN,3.0,3.0,21782.75,21937.65,21472.95,103.27,0.7
mnq,2025-05-29 14:00:00,2025-05-30 01:00:00,SHORT,WIN,3.0,3.0,21516.0,21632.36,21283.29,77.57,0.61
